	Image_Metadata_Plate	Image_Metadata_Well	cell_count
360	SQ00014814	P01	424
361	SQ00014814	P02	342
362	SQ00014814	P03	336
363	SQ00014814	P04	356
364	SQ00014814	P05	312
365	SQ00014814	P06	306
366	SQ00014814	P07	1915
367	SQ00014814	P08	2146
368	SQ00014814	P09	2081
369	SQ00014814	P10	2152
370	SQ00014814	P11	2137
371	SQ00014814	P12	2479
372	SQ00014814	P13	2436
373	SQ00014814	P14	2498
374	SQ00014814	P15	2258
375	SQ00014814	P16	2267
376	SQ00014814	P17	2554
377	SQ00014814	P18	2480
378	SQ00014814	P19	326
379	SQ00014814	P20	1829
380	SQ00014814	P21	1927
381	SQ00014814	P22	2328
382	SQ00014814	P23	2440
383	SQ00014814	P24	2263
