plate_map_name	well_position	broad_sample	mg_per_ml	mmoles_per_liter	solvent
C-7161-01-LM6-026	K21	BRD-K92049597-001-20-8	0.281402888889971200	1.11111111111538462	DMSO
C-7161-01-LM6-026	K22	BRD-K92049597-001-20-8	0.0938009629626743416	0.370370370369230769	DMSO
C-7161-01-LM6-026	K23	BRD-K92049597-001-20-8	0.0312669876542247805	0.123456790123076923	DMSO
C-7161-01-LM6-026	K24	BRD-K92049597-001-20-8	0.0104223292187243181	0.0411522633769230769	DMSO
C-7161-01-LM6-026	L01	BRD-A91699651-316-10-9	5.15863000000000056	9.99999999999999999	DMSO
C-7161-01-LM6-026	L02	BRD-A91699651-316-10-9	1.71954333333201080	3.33333333333076923	DMSO
C-7161-01-LM6-026	L03	BRD-A91699651-316-10-9	0.573181111113315719	1.11111111111538462	DMSO
C-7161-01-LM6-026	L04	BRD-A91699651-316-10-9	0.191060370369782513	0.370370370369230769	DMSO
C-7161-01-LM6-026	L05	BRD-A91699651-316-10-9	0.0636867901232608377	0.123456790123076923	DMSO
C-7161-01-LM6-026	L06	BRD-A91699651-316-10-9	0.0212289300424096715	0.0411522633769230769	DMSO
