broad_sample	broad_id	plate_map_name	solvent
BRD-K79595931-312-01-3	BRD-K79595931	C-7161-01-LM6-024	DMSO
BRD-K79759585-048-04-8	BRD-K79759585	C-7161-01-LM6-024	DMSO
BRD-K79404599-001-09-3	BRD-K79404599	C-7161-01-LM6-024	DMSO
BRD-K79501723-001-04-6	BRD-K79501723	C-7161-01-LM6-024	DMSO
BRD-K79602928-003-19-9	BRD-K79602928	C-7161-01-LM6-024	DMSO
BRD-A79768653-001-12-0	BRD-A79768653	C-7161-01-LM6-024	DMSO
		C-7161-01-LM6-025	DMSO
BRD-A97701745-001-16-0	BRD-A97701745	C-7161-01-LM6-025	DMSO
BRD-K97746869-001-27-0	BRD-K97746869	C-7161-01-LM6-025	DMSO
BRD-K98493452-001-14-9	BRD-K98493452	C-7161-01-LM6-025	DMSO
BRD-K97729603-001-01-2	BRD-K97729603	C-7161-01-LM6-025	DMSO
BRD-K97799481-001-16-0	BRD-K97799481	C-7161-01-LM6-025	DMSO
BRD-K98530306-003-18-3	BRD-K98530306	C-7161-01-LM6-025	DMSO
BRD-K98624455-074-02-8	BRD-K98624455	C-7161-01-LM6-025	DMSO
BRD-K91336023-003-01-0	BRD-K91336023	C-7161-01-LM6-025	DMSO
BRD-K92213669-001-01-3	BRD-K92213669	C-7161-01-LM6-025	DMSO
BRD-K50691590-001-02-2	BRD-K50691590	C-7161-01-LM6-025	DMSO
BRD-A90799790-001-19-9	BRD-A90799790	C-7161-01-LM6-025	DMSO
BRD-K91456750-238-01-7	BRD-K91456750	C-7161-01-LM6-025	DMSO
BRD-K92241597-001-06-0	BRD-K92241597	C-7161-01-LM6-025	DMSO
BRD-K96194081-001-10-2	BRD-K96194081	C-7161-01-LM6-025	DMSO
BRD-K99475619-001-01-2	BRD-K99475619	C-7161-01-LM6-025	DMSO
BRD-K98733875-001-01-4	BRD-K98733875	C-7161-01-LM6-025	DMSO
BRD-K88544581-001-06-1	BRD-K88544581	C-7161-01-LM6-025	DMSO
BRD-K90333595-003-21-4	BRD-K90333595	C-7161-01-LM6-025	DMSO
BRD-A98702003-304-04-8	BRD-A98702003	C-7161-01-LM6-025	DMSO
BRD-A89175223-051-14-8	BRD-A89175223	C-7161-01-LM6-025	DMSO
BRD-K91301684-003-05-5	BRD-K91301684	C-7161-01-LM6-025	DMSO
BRD-K91822704-003-07-2	BRD-K91822704	C-7161-01-LM6-025	DMSO
BRD-K73815512-001-02-5	BRD-K73815512	C-7161-01-LM6-025	DMSO
BRD-K74057757-001-01-9	BRD-K74057757	C-7161-01-LM6-025	DMSO
BRD-K99113996-001-02-0	BRD-K99113996	C-7161-01-LM6-025	DMSO
BRD-A73908300-001-06-7	BRD-A73908300	C-7161-01-LM6-025	DMSO
BRD-K73999723-001-11-3	BRD-K73999723	C-7161-01-LM6-025	DMSO
